Orden,Branch,Tipo,Historia,Destino_PR,Archivos_principales,Depende_de,Validacion,Nota_FK
1,hu/HU-01-repositorio-ramas,Tecnica,HU-1,dev,"Repositorio y ramas main qa dev",Ninguna,"Ramas creadas","No aplica"
2,hu/HU-02-plan-seguimiento,Tecnica,HU-2,dev,"docs/entrega-base-datos/plan_trabajo_inicial.md; docs/entrega-base-datos/seguimientos.md; docs/entrega-base-datos/gestion_equipo.md",HU-1,"Revision documental","No aplica"
3,hu/HU-03-analisis-dominios,Tecnica,HU-3,dev,"docs/entrega-base-datos/analisis_dominios.md",HU-2,"8 dominios documentados","No aplica"
4,hu/HU-04-adr,Tecnica,HU-4,dev,"docs/entrega-base-datos/ADR",HU-3,"ADR con contexto decision consecuencias","No aplica"
5,hu/HU-05-github-actions,Tecnica,HU-5,dev,".github/workflows si aplica",HU-1,"Workflow revisado","No aplica"
6,hu/HU-06-docker-postgres,Tecnica,HU-6,dev,"entregables/estructura-base-datos/db-structure 1/docker/docker-compose.yml",HU-1,"PostgreSQL healthy","No aplica"
7,hu/HU-07-liquibase,Tecnica,HU-7,dev,"liquibase.properties; changelog/changelog-master.yaml",HU-6,"Liquibase reconoce changelog","No aplica"
8,hu/HU-08-ddl-base,Tecnica,HU-8,dev,"01_ddl/00_extensions; 01_schemas; 02_types; changelogs; rollbacks",HU-7,"Extensiones schemas y types ejecutan","Debe ir antes de cualquier tabla"
9,hu/HU-09-parametrizacion-seguridad,Tecnica,HU-9,dev,"01_ddl/03_tables/001_configuration.sql; 002_security.sql; changelog; rollbacks",HU-8,"DDL ejecuta","Crea tablas padre como cliente usuario rol permiso"
10,hu/HU-10-distribucion-prestacion,Tecnica,HU-10,dev,"01_ddl/03_tables/003_distribution.sql; 004_service_delivery.sql; changelog; rollbacks",HU-9,"DDL ejecuta","Depende de empresa cliente habitacion y usuarios segun FK"
11,hu/HU-11-inventario-facturacion,Tecnica,HU-11,dev,"01_ddl/03_tables/005_inventory.sql; 006_billing.sql; changelog; rollbacks",HU-10,"DDL ejecuta","Facturacion depende de estadia reserva metodo_pago"
12,hu/HU-12-notificacion-mantenimiento,Tecnica,HU-12,dev,"01_ddl/03_tables/007_notification.sql; 008_maintenance.sql; changelog; rollbacks",HU-10,"DDL ejecuta","Mantenimiento depende de sede habitacion y usuario"
13,hu/HU-13-consultas-funciones,Tecnica,HU-13,dev,"01_ddl/04_views; 05_materialized_views; 06_functions; changelogs; rollbacks",HU-9 a HU-12,"Objetos compilan","Depende de tablas ya existentes"
14,hu/HU-14-procesos-triggers-indices,Tecnica,HU-14,dev,"01_ddl/07_procedures; 08_triggers; 09_indexes; changelogs; rollbacks",HU-13,"Procesos e indices compilan","Triggers dependen de tablas y funciones"
15,hu/HU-15-dml-parametrizacion-seguridad,Tecnica,HU-15,dev,"02_dml/00_inserts/001_configuration.sql; 002_security.sql; changelog; rollbacks",HU-9,"Inserts ejecutan","Primero datos padre"
16,hu/HU-16-dml-distribucion-prestacion,Tecnica,HU-16,dev,"02_dml/00_inserts/003_distribution.sql; 004_service_delivery.sql; changelog; rollbacks",HU-10 HU-15,"Inserts ejecutan","Reserva depende de cliente y habitacion"
17,hu/HU-17-dml-inventario-facturacion,Tecnica,HU-17,dev,"02_dml/00_inserts/005_inventory.sql; 006_billing.sql; changelog; rollbacks",HU-11 HU-16,"Inserts ejecutan","Factura depende de estadia y metodos de pago"
18,hu/HU-18-dml-notificacion-mantenimiento,Tecnica,HU-18,dev,"02_dml/00_inserts/007_notification.sql; 008_maintenance.sql; changelog; rollbacks",HU-12 HU-16,"Inserts ejecutan","Alertas y mantenimiento dependen de datos ya cargados"
19,hu/HU-19-dcl-roles,Tecnica,HU-19,dev,"03_dcl/00_roles/001_roles.sql; changelog; rollback",HU-8,"Roles creados","No afecta FK"
20,hu/HU-20-dcl-grants,Tecnica,HU-20,dev,"03_dcl/01_grants/001_grants.sql; changelog; rollback",HU-19 HU-9,"Permisos aplican","Depende de schemas y roles"
21,hu/HU-21-dcl-policies,Tecnica,HU-21,dev,"03_dcl/02_policies/001_rls_policies.sql; changelog; rollback",HU-20,"Policies aplican","Depende de tablas y roles"
22,hu/HU-22-tcl,Tecnica,HU-22,dev,"04_tcl; changelog; rollback",HU-15 a HU-18,"Transacciones revisadas","Debe respetar orden de datos"
23,hu/HU-23-validacion-final,Tecnica,HU-23,dev,"scripts/smoke-test.sql; guia_tecnica_ejecucion.md; evidencias",HU-1 a HU-22,"Liquibase y smoke test OK","Confirma que las FK funcionan"


